Claim,Slide/section,Evidence,Source,Date,Calculation method,Assumptions,Confidence,Gaps / additional evidence needed
Public register data records Pixan Oy as the proprietor.,IP status,The EPO main record records Pixan Oy as the proprietor.,https://register.epo.org/application?number=EP14836345&lng=en&tab=main,2026-07-24,Direct observation from the register.,The register reflects the public record on the review date.,Confirmed,"The complete chain of title, deeds of assignment and possible encumbrances must be reviewed separately."
The earliest priority is FI20135829 dated 2013-08-14.,IP status,EPO record: FI20135829 · PCT/FI2014/050624 · WO2015022448 · EP3032975.,https://register.epo.org/application?number=EP14836345&lng=en&tab=main ; https://register.epo.org/application?number=EP14836345&lng=en&tab=family,2013-08-14,Direct observation from the register.,No assumptions.,Confirmed,No material gap for the priority claim.
The central EPO opposition and appeal proceedings concluded with the patent maintained in amended form.,IP status,Nicoventures Trading Limited filed an opposition on 28 February 2020; oral proceedings were held in July 2021 and an interlocutory decision was issued in August 2021; Pixan filed appeal T1818/21 in October 2021 and withdrew it on 11 December 2023; an amended nine-claim B2 was published on 24 April 2024.,https://register.epo.org/application?number=EP14836345&lng=en&tab=event ; https://register.epo.org/application?number=EP14836345&lng=en&tab=doclist ; https://data.epo.org/publication-server/rest/v1.2/patents/EP3032975NWB1/document.pdf ; https://data.epo.org/publication-server/rest/v1.2/patents/EP3032975NWB2/document.pdf,2024-04-24,Cross-check of official event entries and the B2 publication.,National validity and enforceability must be assessed separately.,Confirmed,Current status in each national register is still required.
The amended EP3032975B2 contains nine claims.,Patented solution,"B1 contained 13 claims and B2 contains 9 claims. The independent controller and method claims use stored resistance–power values, measure resistance, determine power through a non-proportional relationship and permit user adjustment between a non-zero minimum and a stored maximum. This is a plain-language summary, not a legal claim construction.",https://data.epo.org/publication-server/rest/v1.2/patents/EP3032975NWB2/document.pdf,2024-04-24,Claims counted directly from the B2 publication.,The plain-language summary is not a legal claim construction.,Confirmed,Country-specific expert claim construction and product mapping are required.
The patent family contains 22 publication-based records.,Geographic coverage,The public family data gives familyRecordCount = 22.,https://register.epo.org/application?number=EP14836345&lng=en&tab=family,2026-07-24,Count of EPO family publications; the count does not represent active rights.,Each publication record is treated only as evidence of a family route.,Supported,"Title, fee status, operative claims and legal status must be verified country by country."
"The German nullity action was dismissed on 14 January 2026, and an appeal is pending.",Legal evidence,The judgment concerns the German part of EP3032975B2. The appeal is pending before the Federal Court of Justice under reference X ZR 21/26.,https://www.rechtsprechung-im-internet.de/jportal/?quelle=jlink&docid=JURE269032275&psml=bsjrsprod.psml,2026-01-14,Direct reading of the official judgment entry and appeal reference.,The conclusion is limited to the German part and the current procedural status.,Confirmed,Monitor the progress and outcome of the Federal Court of Justice appeal X ZR 21/26.
The Munich court found that the products examined in the case infringed claims 1 and 6.,Legal evidence,"The decision records direct infringement of claims 1 and 6 and indirect infringement in relation to supplementary parts, together with remedies described in the decision.",https://www.gesetze-bayern.de/Content/Document/Y-300-Z-BECKRS-B-2026-N-14206,2026-04-02,Direct reading of the limited description of the official decision.,"The finding is not generalised beyond the products, parties, claims and period examined.",Confirmed,"Appeal status, finality, enforcement and any damages actually paid remain to be verified."
"The identified Chinese matter is an applicant-side re-examination, not infringement litigation.",Legal evidence,"The RPX entry describes review of a rejected application rather than an infringement action or adversarial invalidity dispute. The applicant name Pixon Limited / 皮克森有限公司 is strongly consistent with the Chinese rendering used for Pixan, but the official decision was not retrieved. CN105764365B was later granted on 4 May 2021.",https://litigation.rpxcorp.com/china/prb/5153434-picsen-company-v-pixan-oy-of-365 ; https://www.cnipa.gov.cn/art/2020/6/5/art_1517_92474.html ; https://register.epo.org/application?number=EP14836345&lng=en&tab=family,2020-08-24,Classification of the secondary docket entry against official procedural guidance.,"The name correspondence is strong, but the official decision is unavailable in the reviewed material.",Supported,The official CNIPA decision and its reasoning are required.
The public atlas contains a fixed research universe of 195 countries.,Market scope,countryCount = 195; universe = UN193+VA+PS.,https://www.un.org/en/about-us/member-states ; https://www.un.org/en/about-us/non-member-states,2026-07-24,193 UN Member States + Holy See + State of Palestine.,The research frame is not evidence of proven market coverage.,Confirmed,There is no gap in the universe definition; evidence coverage is assessed separately.
The public package contains 27 annual observations sourced from official routes across seven countries.,Market size,"The countries are Canada, Germany, Finland, New Zealand, Poland, Sweden and the United States. Transaction levels, currencies and product scopes differ.",site/data/market-values.json (machine-readable source file of the public site),2026-07-24,Count of annual observations whose evidenceStatus begins official_.,Official publication does not make the metrics automatically comparable.,Confirmed,Comparable annual device and liquid consumer-retail-value series are required from additional countries.
There are zero accepted full-year national consumer-retail-value donor markets.,Market size,comparableFullYearMarketValueDonors = 0. Five candidate tests are published against the same ten-criterion protocol.,"site/data/market-values.json (modelReadiness, donorProtocol and donorCandidates)",2026-07-24,A candidate enters the donor count only when D1–D10 all pass; a failed or open criterion keeps it outside the count.,"Official lower bounds, institutional benchmarks, shipment values, tax receipts, physical volumes and models are not relabelled as complete consumer-retail value.",Confirmed,"At least three accepted donors are required, with regional and regulatory-archetype coverage."
New Zealand's 2024 specialist-vape-retailer sales were reported as at least NZD 280 million.,Market size,"The Ministry of Health publishes an official consumer-retail lower bound based only on incomplete specialist-vape-retailer sales. General retail is outside the figure, adjacent notifiable products are included and the Ministry does not recommend the data for in-depth research.",https://www.health.govt.nz/regulation-legislation/vaping-herbal-smoking-and-smokeless-tobacco/requirements/complete-a-notifiable-product-annual-return/annual-returns-2024,2024,Direct use of the official at-least headline; no extrapolation and no addition of other return types.,"The figure is a lower bound, not a complete national vaping-market value.",Confirmed,"Obtain a complete national vaping-only retailer aggregate, GST basis and independent reconciliation."
"The raw sum of 612,765 numeric Total sales cells across New Zealand's 29 official 2024 XLSX files is NZD 280,684,512.81.",Market size,"The raw sum reconciles to the Ministry's at-least NZD 280 million headline. The files contain 95,144 exact repeated row signatures; removing occurrences after the first would produce NZD 264,561,055.05, but repeat semantics are unverified.",https://www.health.govt.nz/regulation-legislation/vaping-herbal-smoking-and-smokeless-tobacco/requirements/complete-a-notifiable-product-annual-return/annual-returns-2024 ; source/NZ_2024_ANNUAL_RETURNS_RECONCILIATION.md,2026-07-24,"Direct sum of the numeric Total sales cells in all 29 official XLSX files; no de-duplication, cleaning or extrapolation.",Repeated rows remain in the raw sum because their business meaning is unknown.,Supported,"The raw sum is not a cleaned national market value. General retail, missing returns and GST treatment remain unresolved."
"A conservative text classification identifies NZD 274,180,410.21 as New Zealand 2024 vaping-product-row raw sales.",Market size,"NZD 2,137,085.24 is identified as adjacent notifiable products and NZD 4,367,017.37 as unresolved product type. The vaping exact-row-de-duplication sensitivity is NZD 258,327,110.88, but it is not a corrected estimate.",https://www.health.govt.nz/regulation-legislation/vaping-herbal-smoking-and-smokeless-tobacco/requirements/complete-a-notifiable-product-annual-return/annual-returns-2024 ; source/NZ_2024_ANNUAL_RETURNS_RECONCILIATION.md,2026-07-24,Conservative Product type text classification of product rows in the official XLSX files; classification and repeated-row sensitivities are reported separately.,Product-type corruption and unresolved rows prevent interpretation as a complete vaping market.,Supported,"Obtain the authority's product-code dictionary, repeat-row semantics, complete channel coverage and GST basis. The figure is not donor-eligible."
"New Zealand's supported 2024 identified-vaping retail sensitivity is NZD 533,662,383.68–731,175,792.50, with a base case of NZD 641,811,687.89.",Market size,"The combined low, base and high cases are NZD 533,662,383.68 / 641,811,687.89 / 731,175,792.50. The model combines the specialist-retailer anchor with a general-retailer quantity-and-price model.",https://www.health.govt.nz/regulation-legislation/vaping-herbal-smoking-and-smokeless-tobacco/requirements/complete-a-notifiable-product-annual-return/annual-returns-2024 ; source/NZ_2024_RPS_RETAIL_VALUE_SENSITIVITY.md,2026-07-24,"Low (exact-row deduplication): NZD 258,327,110.88 + 275,335,272.80 = 533,662,383.68. Base (reported/raw rows): NZD 274,180,410.21 + 367,631,277.68 = 641,811,687.89. High (reported/raw rows): NZD 274,180,410.21 + 456,995,382.29 = 731,175,792.50.","GST treatment, return completeness and independent reconciliation are open; notifier supply-stage values are excluded.",Supported,Not an observed national value or accepted donor. Authority confirmation of scope and GST plus independent reproduction are required.
