evidenceId,countries,grade,legacyGrade,claimType,title,coverage,use,sourceUrl,sourceKind,origin
MARNET-001,CA,A,A,delivery_sales,Health Canada · Vaping sales,Kuratoitu maapeitto (1): CA.,"Virallisen toimitusmyynnin ankkuri; tarkista mittari, vuosi ja kattavuus alkuperäislähteestä.",https://health-infobase.canada.ca/substance-use/vaping/sales/,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
MARNET-002,CA,B,B,customs,Statistics Canada · CIMT 2025,Kuratoitu maapeitto (1): CA.,Rajakaupan tai tullivirran ankkuri; ei yksin osoita kotimaista kuluttajamyyntiä.,https://www150.statcan.gc.ca/n1/en/catalogue/71-607-X2021004,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
MARNET-003,DE,A,A,official_volume,Destatis · tabakverotilasto,Kuratoitu maapeitto (1): DE.,"Virallisen määrähavainnon ankkuri; tarkista yksikkö, vuosi ja veropohja alkuperäislähteestä.",https://www.destatis.de/DE/Presse/Pressemitteilungen/2026/01/PD26_026_73.html,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
MARNET-004,FI,A,A,official_volume_tax,Verohallinto · valmisteverotilasto,Kuratoitu maapeitto (1): FI.,Virallisen määrä- ja verohavainnon ankkuri; pidä määrä ja verotuotto erillisinä mittareina.,https://vero2.stat.fi/PXWeb/pxweb/en/Vero/Vero__Valmistevero/vvt_010.px/,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
MARNET-005,DE,B,A,tax_rate,Saksan tupakkaverolaki §2,Kuratoitu maapeitto (1): DE.,Veroasteen sääntelyankkuri; ei toteutunut määrä- tai myyntihavainto.,https://www.gesetze-im-internet.de/tabstg_2009/__2.html,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
MARNET-006,AT|BE|BG|HR|CY|CZ|DK|EE|FI|FR|DE|GR|HU|IE|IT|LV|LT|LU|MT|NL|PL|PT|RO|SK|SI|ES|SE,B,A,reporting_rule,EU Tobacco Products Directive 20(7),"Kuratoitu maapeitto (27): AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IE, IT, LV, LT, LU, MT, NL, PL, PT, RO, SK, SI, ES, SE.",Raportointivelvoitteen sääntelyankkuri; julkisen toteumatiedon saatavuus tarkistetaan erikseen.,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32014L0040,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
MARNET-007,US|CA|JP,B,B,customs,UN Comtrade,"Kuratoitu maapeitto (3): US, CA, JP.",Rajakaupan tai tullivirran ankkuri; ei yksin osoita kotimaista kuluttajamyyntiä.,https://comtradeplus.un.org/,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
MARNET-008,US,B,B,customs,U.S. Census · Merchandise Trade Imports 2025,Kuratoitu maapeitto (1): US.,Rajakaupan tai tullivirran ankkuri; ei yksin osoita kotimaista kuluttajamyyntiä.,https://www.census.gov/foreign-trade/data/IMDB.html,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
MARNET-009,AT|BE|DE|DK|ES|FI|FR|IT|LU|NL|PL|SE,B,B,customs,Eurostat Comext DS-045409,"Kuratoitu maapeitto (12): AT, BE, DE, DK, ES, FI, FR, IT, LU, NL, PL, SE.",Rajakaupan tai tullivirran ankkuri; ei yksin osoita kotimaista kuluttajamyyntiä.,https://ec.europa.eu/eurostat/web/international-trade-in-goods/database,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
MARNET-010,JP,B,B,customs,Japan Customs / MOF · 2025 revised,Kuratoitu maapeitto (1): JP.,Rajakaupan tai tullivirran ankkuri; ei yksin osoita kotimaista kuluttajamyyntiä.,https://www.e-stat.go.jp/en/stat-search/files?bunya_l=16&cycle=1&layout=dataset&page=1&second=1&tclass1=000001013180&tclass2=000001013182&tclass3val=0&toukei=00350300&tstat=000001013141,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
MARNET-011,KR,B,B,customs,Korea Customs Service · 2025 HS6 / HSK10,Kuratoitu maapeitto (1): KR.,Rajakaupan tai tullivirran ankkuri; ei yksin osoita kotimaista kuluttajamyyntiä.,https://tradedata.go.kr/cts/index_eng.do,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
MARNET-012,US,B,A,historical_sales,FTC E-Cigarette Report 2021,Kuratoitu maapeitto (1): US.,Historiallinen myyntiankkuri; ajankohta ja mittarin jatkuvuus on tarkistettava erikseen.,https://www.ftc.gov/reports/e-cigarette-report-2021,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
MARNET-013,JP,B,B,methodology,Japan Customs methodology,Kuratoitu maapeitto (1): JP.,Virallisen tilastomenetelmän ankkuri; varsinainen toteumaluku on haettava erikseen.,https://www.customs.go.jp/toukei/sankou/howto/gaiyou_e.htm,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
MARNET-014,CN,B,B,official_access_route,China Customs · virallinen tilastopalvelu,Kuratoitu maapeitto (1): CN.,Virallisen tietopalvelun reitti; tarvittava maakohtainen poiminta ja täsmäytys puuttuu.,https://online.customs.gov.cn/static/pages/guides/002029004002/002029004002.html,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
MARNET-015,IT,B,A,reporting_schema,Italia ADM · PLI-PAT ja kuukausiraportin mallipohja,Kuratoitu maapeitto (1): IT.,Viranomaisraportoinnin tietorakenne; ei sellaisenaan kansallinen toteumasumma.,https://www.adm.gov.it/portale/-/portale-prodotti-liquidi-da-inalazione-pli-e-prodotti-accessori-dei-tabacchi-pat-1,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
MARNET-016,IT,B,A,tax_rate,Italia ADM · vuoden 2025 PLI-verokannat,Kuratoitu maapeitto (1): IT.,Veroasteen sääntelyankkuri; ei toteutunut määrä- tai myyntihavainto.,https://www.adm.gov.it/portale/documents/20182/208222724/DET+PRE+PUBB+71960.27-01-2025-U.pdf/f08b0d67-49a2-c5ca-074b-2111240054ad?t=1738229866530,official_or_institutional_publication,source/marnet-public-baseline.json@7ab0c99c7146cac76ce01fa1e1f0a70d43092e1f
