rank,priorityCode,tier,vendor,product,category,priceType,priceAmount,currency,priceDisplay,weightedScore,roleEn,roleFi,coverageEn,coverageFi,decisionEn,decisionFi,conditionsEn,conditionsFi,outreachState,outreachOn,outreachNoteEn,outreachNoteFi,alternativeGroup,sourceUrls,verifiedOn,programmeVersion,programmeAsOf,widerPackagePurchaseAuthorised
1,1A,core_global_choose_one,ECigIntelligence,Global Market Database,global_market_series,public_list_price,3995,USD,"USD 3,995",3.80,"Default first purchase candidate: vape-specific country and region estimates, product-form splits, pricing, channel signals and history from 2014.","Ensisijainen ostoehdokas: vape-spesifiset maa- ja aluearviot, tuotemuotoerittelyt, hinnat, kanavasignaalit ja historia vuodesta 2014.",More than 50 named countries across seven regions; one-year forecast stated on the category page.,Yli 50 nimettyä maata seitsemällä alueella; kategoriasivu ilmoittaa yhden vuoden ennusteen.,"Ask Pixan to approve only after receiving the sample workbook, data dictionary and written lender/M&A data-room rights.","Pyydä Pixanilta hyväksyntä vasta näytetyökirjan, data dictionaryn ja kirjallisten rahoittaja-/M&A-datahuoneoikeuksien jälkeen.",Confirm forecast horizon: vendor pages have not always described it consistently. Do not upload raw files to the public dashboard.,Vahvista ennustehorisontti: toimittajan sivut eivät ole aina kuvanneet sitä yhdenmukaisesti. Älä julkaise raakatiedostoja julkisella dashboardilla.,followup_sent_response_pending,2026-07-28,"A free review-sample and non-binding quote request was sent on 2026-07-23, followed by the first follow-up on 2026-07-28. No response, sample, quote, data, method, coverage, licence, price or commitment is recorded. NOT SCORED; no purchase is authorised.","Maksuton tarkistusnäyte ja ei-sitova tarjous pyydettiin 23.7.2026, ja ensimmäinen seuranta lähetettiin 28.7.2026. Vastausta, näytettä, tarjousta, dataa, menetelmää, kattavuutta, lisenssiä, hintaa tai sitoumusta ei ole kirjattu. EI PISTEYTETTY; ostoa ei ole valtuutettu.",global_master_choose_one,https://ecigintelligence.com/product-category/premium-data-bundles/ | https://ecigintelligence.com/shop/ | https://ecigintelligence.com/terms-conditions/,2026-07-23,2026.08.03-43,2026-08-03,false
2,1B,core_global_choose_one,Euromonitor International,Passport Nicotine / e-vapour country series,global_market_series,vendor_quote,,,Private indicative annual quotes received; Germany extract delivered,3.80,"Institutionally strong alternative global master with country value, volume, category, company, brand, distribution and forecast tables.","Institutionaalisesti vahva vaihtoehtoinen globaali pääaineisto, jossa on maa-, arvo-, volyymi-, kategoria-, yhtiö-, brändi-, jakelu- ja ennustetaulukoita.","The delivered Germany extract contains 19 populated tabs spanning market size, category, company/brand, channel and forecast structures. The received value-coverage list and three quotes describe 25-, 50- and 78-market options, while a separate schema workbook lists 95 geographies. Exact global country-product-field-year availability, exclusions and researched/modelled status remain unreconciled.","Toimitettu Saksa-ote sisältää 19 täytettyä välilehteä markkinakoko-, kategoria-, yhtiö-/brändi-, kanava- ja ennusterakenteista. Saatu arvopeittolista ja kolme tarjousta kuvaavat 25, 50 ja 78 markkinan vaihtoehtoja, kun erillinen skeematyökirja luettelee 95 maantiedettä. Täsmällinen globaali maa–tuote–kenttä–vuosi-saatavuus, poissulut ja tutkittu/mallinnettu-tila ovat edelleen täsmäyttämättä.","Keep the wider 25/50/78-country subscription on HOLD. Proceed only after written clarification of the product, tax, channel and transaction-stage bridge; country-specific source and record-status lineage; exact field-year coverage; legally approved Pixan/lender/buyer/adviser NDA data-room rights; user, export, retention, cancellation and renewal terms; and complete all-in commercial terms. Buy at most one global master unless non-overlap is demonstrated.","Pidä laajempi 25/50/78 maan tilaus HOLD-tilassa. Etene vasta, kun tuote-, vero-, kanava- ja tapahtumavaiheen silta, maakohtainen lähde- ja tietueiden tilalinja, täsmällinen kenttä–vuosi-peitto, legal-tiimin hyväksymät Pixan-/lainanantaja-/ostaja-/neuvonantaja-NDA-datahuoneoikeudet, käyttäjä-, vienti-, säilytys-, peruutus- ja uusimisehdot sekä täydelliset kaikki kustannukset kattavat kaupalliset ehdot on vahvistettu kirjallisesti. Osta enintään yksi globaali pääaineisto, ellei päällekkäisyyden puuttumista osoiteta.","The full Germany extract passed the three preregistered numerical liquid-volume proximity tests in private review. This supports numerical coherence, not final accuracy or boundary equivalence. Licensed values and exact deviations remain private. G1 passes; G2, G3, G5 and G6 fail; G4 remains not testable. Germany remains outside the donor count and no wider subscription is authorised.","Saksan täysi ote läpäisi yksityisessä tarkastuksessa kolme ennalta rekisteröityä nestemäärän numeerista läheisyystestiä. Tämä tukee numeerista johdonmukaisuutta, ei lopullista tarkkuutta tai rajauksen vastaavuutta. Lisensoidut arvot ja tarkat poikkeamat pysyvät yksityisinä. G1 läpäisee; G2, G3, G5 ja G6 hylätään; G4 ei ole testattavissa. Saksa pysyy donor-määrän ulkopuolella eikä laajempaa tilausta ole valtuutettu.",germany_extract_delivered_private_audit_complete_broader_subscription_hold,2026-08-03,"A full 19-tab Germany evaluation extract was received on 2026-08-03 and audited privately. The preregistered 2023, 2024 and combined numerical liquid-volume proximity tests passed. Licensed values and exact deviations are not published. Product, tax, channel and transaction-stage comparability, country-specific source-to-series lineage, record-status flags, the 25/50/78-country field-year coverage matrix, onward-sharing/data-room rights and complete commercial terms remain open. Germany is not an accepted donor, the donor gate remains 0/3 and global value remains not_computed. One of six mandatory vendor gates passes, but the vendor remains NOT SCORED. The one-country Germany extract was accepted and delivered; the wider 25/50/78-country subscription remains HOLD and is not authorised.","Saksan täysi 19 välilehden arviointiote saatiin 3.8.2026 ja auditoitiin yksityisesti. Ennalta rekisteröidyt vuosien 2023 ja 2024 sekä yhdistetty nestemäärän numeerinen läheisyystesti läpäistiin. Lisensoituja arvoja tai tarkkoja poikkeamia ei julkaista. Tuote-, vero-, kanava- ja tapahtumavaiheen vertailukelpoisuus, maakohtainen lähde–sarja-linja, tietueiden tilamerkinnät, 25/50/78 maan kenttä–vuosi-peittomatriisi, edelleenjako- ja datahuoneoikeudet sekä täydelliset kaupalliset ehdot ovat avoinna. Saksaa ei ole hyväksytty donoriksi, donor-portti pysyy 0/3:ssa ja maailmanarvo not_computed-tilassa. Yksi kuudesta pakollisesta toimittajaportista läpäisee, mutta toimittaja pysyy EI PISTEYTETTY -tilassa. Yhden maan Saksa-ote hyväksyttiin ja toimitettiin; laajempi 25/50/78 maan tilaus pysyy HOLD-tilassa eikä sitä ole valtuutettu.",global_master_choose_one,https://www.euromonitor.com/smokeless-tobacco-e-vapour-products-and-heated-tobacco-in-denmark/report | https://www.euromonitor.com/terms-and-conditions | https://www.euromonitor.com/contact-us,2026-08-03,2026.08.03-43,2026-08-03,false
3,2A,validation,NielsenIQ,Retail Measurement Services pilot,retail_pos,vendor_quote,,,Quote,3.05,"Observed retail sell-out validation for selected countries: value, volume, price, share, distribution and promotion.","Havaitun vähittäismyynnin varmennus valituissa maissa: arvo, volyymi, hinta, osuus, jakelu ja kampanjat.","Global RMS platform, but vape-category country and channel coverage must be quoted and demonstrated. Recommended pilot: Germany, United States and United Kingdom.","Globaali RMS-alusta, mutta vape-kategorian maa- ja kanavapeitto on tarjottava ja osoitettava. Suositeltu pilotti: Saksa, Yhdysvallat ja Britannia.",Buy only as a validation layer after the chosen global master sample identifies the exact gaps.,"Osta vain varmennuskerrokseksi sen jälkeen, kun valitun globaalin pääaineiston näyte osoittaa täsmälliset puutteet.","Require named retailers/channels, coverage percentage, projection method, exclusions, historical months and export rights.","Vaadi nimetyt jälleenmyyjät/kanavat, peittoprosentti, projisointimenetelmä, poissulut, historiakuukaudet ja vientioikeudet.",blocked_not_submitted,2026-07-23,Not submitted: the available form requires acceptance of Terms of Use. No terms were accepted.,Ei lähetetty: käytettävissä oleva lomake edellyttää käyttöehtojen hyväksymistä. Ehtoja ei hyväksytty.,pos_validation,https://nielseniq.com/global/en/products/retail-measurement-services-rms/,2026-07-23,2026.08.03-43,2026-08-03,false
4,2B,validation,Circana,US Tobacco POS pilot,retail_pos,vendor_quote,,,Quote,3.35,High-value United States validation for Electronic Smoking Devices across MULO and convenience POS channels.,Arvokas Yhdysvaltain Electronic Smoking Devices -varmennus MULO- ja convenience-POS-kanavissa.,United States focused. Circana states partnerships with 17 of the top 20 convenience-channel retailers.,Yhdysvallat-painotteinen. Circana ilmoittaa kumppanuudet 17:n kanssa 20 suurimmasta convenience-ketjusta.,Use for the US if NIQ cannot demonstrate equivalent vape coverage or if the US becomes a central value driver.,"Käytä Yhdysvaltoihin, jos NIQ ei osoita vastaavaa vape-peittoa tai jos USA:sta tulee keskeinen arvon ajuri.","Vape shops, direct-to-consumer, grey and illicit channels may remain outside the measured universe. Public dissemination requires prior written consent.","Vape-erikoisliikkeet, suoramyynti, harmaa ja laiton kauppa voivat jäädä mitatun universumin ulkopuolelle. Julkinen levitys vaatii ennakkoluvan.",administrative_qualification_received,2026-07-28,"A commercial qualification response was received and a same-thread clarification was sent on 2026-07-28. Sample data, methodology and a non-binding quote remain pending. NOT SCORED; no purchase, fee or commitment is authorised.","Kaupallinen kvalifiointivastaus saatiin ja samaan viestiketjuun lähetettiin täsmennys 28.7.2026. Näyteaineisto, menetelmä ja ei-sitova tarjous ovat edelleen saamatta. EI PISTEYTETTY; ostoa, maksua tai sitoumusta ei ole valtuutettu.",pos_validation,https://www.circana.com/industries/tobacco | https://www.circana.com/europe-mtc,2026-07-23,2026.08.03-43,2026-08-03,false
5,3,risk_adjustment,ECigIntelligence,Global Regulatory Database or Policy Radar,regulatory,public_list_price,3995,USD,"USD 3,995 each",3.25,"Serviceable-market and risk adjustment: market access, product, sales, advertising, taxation and policy-change signals.","Palveltavan markkinan ja riskin oikaisu: markkinoillepääsy, tuote-, myynti-, mainonta-, vero- ja sääntelymuutossignaalit.",Broad country coverage; this is not annual sales data.,Laaja maapeitto; tämä ei ole vuosittaista myyntidataa.,Buy only after checking whether adequate regulatory data is bundled with the chosen market-data subscription.,"Osta vasta tarkistettuasi, sisältyykö riittävä sääntelydata valittuun markkinadatatilaukseen.",Do not use it as a substitute for market value or sell-out evidence.,Älä käytä markkina-arvon tai toteutuneen vähittäismyynnin korvikkeena.,not_started,,,,,https://ecigintelligence.com/product-category/premium-data-bundles/ | https://ecigintelligence.com/terms-conditions/,2026-07-23,2026.08.03-43,2026-08-03,false
6,4,cross_check_only,Statista,Tobacco Products: market data & analysis,modelled_cross_check,public_list_price,995,USD,USD 995,3.00,Low-cost modelled cross-check for international revenue comparisons; not a primary evidence source.,Edullisempi mallinnettu kansainvälisten liikevaihtojen ristiintarkistus; ei pääasiallinen evidenssilähde.,Broad international tobacco report with an e-cigarette section; e-cigarette volume is not supplied in the stated table set.,"Laaja kansainvälinen tupakkaraportti, jossa on sähkötupakkaosio; ilmoitettu taulukkosisältö ei tarjoa sähkötupakan volyymia.",Consider only if a low-cost independent sensitivity comparator is still needed after the global master.,"Harkitse vain, jos globaalin pääaineiston jälkeen tarvitaan vielä edullinen riippumaton herkkyysvertailu.",The report is broad and modelled. Do not treat it as observed sales or add it to other market estimates.,Raportti on laaja ja mallinnettu. Älä käsittele sitä havaittuna myyntinä tai summaa muihin markkina-arvioihin.,not_started,,,,,https://www.statista.com/study/55497/tobacco-products-market-data-and-analysis/ | https://www.statista.com/imprint/,2026-07-23,2026.08.03-43,2026-08-03,false
7,5,parameter_validation,YouGov or GWI,Profiles / Core consumer panel,consumer_panel,vendor_quote,,,Quote,2.50,"Validate prevalence, frequency, product format, switching and consumer-profile assumptions.","Varmenna prevalenssi-, käyttötiheys-, tuotemuoto-, vaihtamis- ja kuluttajaprofiilioletuksia.","Multi-country consumer panels; exact vaping variables, samples and markets require a proposal.","Monen maan kuluttajapaneelit; tarkat vape-muuttujat, otokset ja maat vaativat tarjouksen.",Buy only for a named parameter gap in an active-user or consumption-intensity model.,Osta vain nimettyyn parametritarpeeseen aktiivikäyttäjä- tai kulutusintensiteettimallissa.,"Not a retail-sales substitute; require survey dates, sample sizes, weighting and question wording.","Ei vähittäismyynnin korvike; vaadi tutkimuspäivät, otoskoot, painotus ja kysymysten sanamuodot.",not_started,,,,consumer_panel_choose_one,https://yougov.com/en-us/business/products/profiles,2026-07-23,2026.08.03-43,2026-08-03,false
8,6,targeted_gap_only,S&P Global Market Intelligence,Panjiva Supply Chain Intelligence,shipment_data,vendor_quote,,,Quote,2.45,Targeted company and route shipment triangulation where official customs data is suppressed or too broad.,"Kohdennettu yritys- ja reittikohtainen lähetysvarmennus, kun virallinen tullidata on salattu tai liian laaja.",Global trade and supply-chain data; product-code and manifest coverage varies.,Globaalia kauppa- ja toimitusketjudataa; tuotekoodi- ja manifestipeitto vaihtelevat.,"Buy only for a named company, lane and missing trade-flow question.","Osta vain nimettyyn yritys-, reitti- ja puuttuvan kauppavirran kysymykseen.",Shipments are not retail sales; prevent double counting with customs and manufacturer data.,Lähetykset eivät ole vähittäismyyntiä; estä päällekkäisyys tulli- ja valmistajadatan kanssa.,not_started,,,,,https://www.spglobal.com/market-intelligence/en/solutions/products/panjiva-supply-chain-intelligence,2026-07-23,2026.08.03-43,2026-08-03,false
9,7,targeted_gap_only,Similarweb,Retail / Digital Research Intelligence,digital_signal,vendor_quote,,,Quote,1.95,"E-commerce traffic, audience and competitive-web signal for selected online markets.","Verkkokaupan liikenne-, yleisö- ja kilpailijasignaali valituissa online-markkinoissa.",Multi-country web data; it does not establish transaction value or gross merchandise value.,Monen maan verkkodata; se ei osoita transaktioarvoa tai GMV:tä.,Buy only if e-commerce is a material unresolved channel and a sample links traffic to the identified sites.,"Osta vain, jos verkkokauppa on olennainen ratkaisematon kanava ja näyte yhdistää liikenteen tunnistettuihin sivustoihin.",Do not convert visits directly into sales without sourced conversion and basket values.,Älä muunna käyntejä suoraan myynniksi ilman lähteistettyä konversiota ja ostoskoriarvoa.,not_started,,,,,https://www.similarweb.com/corp/retail/,2026-07-23,2026.08.03-43,2026-08-03,false
10,P1,parallel_ip_gate,Clarivate,Darts-ip / Litigation Intelligence one-off search,ip_litigation,vendor_quote,,,Quote,2.25,"Parallel non-market gate: identify patent-family litigation, parties, jurisdictions and case links, especially Germany and China.","Rinnakkainen ei-markkinallinen portti: tunnista patenttiperheen oikeudenkäynnit, osapuolet, maat ja asian linkit erityisesti Saksassa ja Kiinassa.",Global patent-litigation intelligence; request a one-off project rather than a full subscription.,Globaalia patenttioikeudenkäyntitietoa; pyydä kertaluonteinen projekti täyden tilauksen sijaan.,Run in parallel if the patent history remains a key financing or sale premise.,"Toteuta rinnakkain, jos patenttihistoria säilyy rahoituksen tai myynnin keskeisenä perusteena.",This does not size the vaping market and requires counsel verification of legal status and relevance.,Tämä ei määritä sähkötupakkamarkkinan kokoa ja vaatii asiamiehen tarkistuksen oikeustilasta ja merkityksestä.,not_started,,,,,https://clarivate.com/intellectual-property/litigation-intelligence/,2026-07-23,2026.08.03-43,2026-08-03,false
