jurisdictionCode,jurisdictionEn,jurisdictionFi,jurisdictionCategory,applicationNumber,publicationNumber,publicationDate,recordType,centralRecordStatusEn,centralRecordStatusFi,currentNationalStatusEn,currentNationalStatusFi,verificationLevel,sourceIds,registerUrl,limitationEn,limitationFi
AU,Australia,Australia,national_phase,AU2014307829,AU2014307829B2,2017-01-12,national_grant_publication,Grant publication recorded in the official EPO family record.,Myöntöjulkaisu on kirjattu EPO:n viralliseen patenttiperherekisteriin.,IP Australia API: GRANTED; last renewal paid 18 July 2025; in-force date returned as 14 August 2026.,IP Australian API: GRANTED; viimeinen uusimismaksu maksettu 18.7.2025; palautettu in-force date on 14.8.2026.,official_national_record,EPO-REGISTER-FAMILY|IPAU-PATENT-API,https://ipsearch.ipaustralia.gov.au/patents/2014307829,The next renewal requires immediate confirmation; do not describe the maximum end date as guaranteed protection through 2034.,Seuraava uusiminen on vahvistettava heti; enimmäispäättymispäivää ei saa kuvata taattuna suojana vuoteen 2034.
BR,Brazil,Brasilia,national_phase,BR112016002959,BR112016002959B1,2021-09-08,national_grant_publication,Grant publication recorded in the official EPO family record.,Myöntöjulkaisu on kirjattu EPO:n viralliseen patenttiperherekisteriin.,Current national status not independently verified as of 22 July 2026.,Nykyistä kansallista voimassaoloa ei ole riippumattomasti vahvistettu 22.7.2026 mennessä.,official_family_record,EPO-REGISTER-FAMILY,https://register.epo.org/application?number=EP14836345&lng=en&tab=family,"Publication history only; verify official Brazilian status, proprietor, annuities, claims and encumbrances.","Vain julkaisuhistoria; Brasilian virallinen tila, haltija, vuosimaksut, vaatimukset ja rasitteet on tarkistettava."
CA,Canada,Kanada,national_phase,CA2920798,CA2920798C,2016-11-08,national_grant_publication,Grant publication recorded in the official EPO family record.,Myöntöjulkaisu on kirjattu EPO:n viralliseen patenttiperherekisteriin.,Current national status not independently verified as of 22 July 2026.,Nykyistä kansallista voimassaoloa ei ole riippumattomasti vahvistettu 22.7.2026 mennessä.,official_family_record,EPO-REGISTER-FAMILY,https://register.epo.org/application?number=EP14836345&lng=en&tab=family,"Publication history only; verify official Canadian status, proprietor, maintenance fees, claims and encumbrances.","Vain julkaisuhistoria; Kanadan virallinen tila, haltija, ylläpitomaksut, vaatimukset ja rasitteet on tarkistettava."
CN,China,Kiina,national_phase,CN201480045426.7,CN105764365B,2021-05-04,national_grant_publication,Grant publication recorded in the official EPO family record.,Myöntöjulkaisu on kirjattu EPO:n viralliseen patenttiperherekisteriin.,Current national status not independently verified as of 22 July 2026.,Nykyistä kansallista voimassaoloa ei ole riippumattomasti vahvistettu 22.7.2026 mennessä.,official_family_record,EPO-REGISTER-FAMILY|CNIPA-PUBLIC-QUERY-GUIDANCE,https://cpquery.cponline.cnipa.gov.cn/chinesepatent/index,"Publication history only; the CNIPA status, proprietor, annuities, operative claims and review decision must be verified directly.","Vain julkaisuhistoria; CNIPA:n tila, haltija, vuosimaksut, käytettävät vaatimukset ja Review Request -päätös on vahvistettava suoraan."
CY,Cyprus,Kypros,validated_ep_publication,CY20191100729,CY1122056T1,2020-11-25,national_ep_publication,National EP publication recorded in the official EPO family record.,Kansallinen EP-julkaisu on kirjattu EPO:n viralliseen patenttiperherekisteriin.,Current national status not independently verified as of 22 July 2026.,Nykyistä kansallista voimassaoloa ei ole riippumattomasti vahvistettu 22.7.2026 mennessä.,official_family_record,EPO-REGISTER-FAMILY|EPO-REGISTER-LEGAL,https://register.epo.org/application?number=EP14836345&lng=en&tab=legal,"Verify Cypriot validation, amended-text effect, renewals, title and enforceability in the national register.","Kyproksen validointi, muutetun tekstin vaikutus, vuosimaksut, omistus ja täytäntöönpanokelpoisuus on tarkistettava kansallisesta rekisteristä."
DK,Denmark,Tanska,validated_ep_publication,EP14836345.0,DK3032975T4,2024-07-22,amended_national_ep_publication,Amended national EP publication recorded in the official EPO family record.,Muutettu kansallinen EP-julkaisu on kirjattu EPO:n viralliseen patenttiperherekisteriin.,Current national status not independently verified as of 22 July 2026.,Nykyistä kansallista voimassaoloa ei ole riippumattomasti vahvistettu 22.7.2026 mennessä.,official_family_record,EPO-REGISTER-FAMILY|EPO-REGISTER-LEGAL,https://onlineweb.dkpto.dk/pvsonline/Patent?action=102&language=gb&sagID=14836345.0,"Verify current Danish status, renewal payments, title, operative claims and encumbrances in the national register.","Tanskan nykyinen tila, vuosimaksut, omistus, käytettävät vaatimukset ja rasitteet on tarkistettava kansallisesta rekisteristä."
EP,European Patent Office,Euroopan patenttivirasto,regional_procedure,EP14836345.0,EP3032975B2,2024-04-24,epo_maintained_amended_publication,Official EPO status: patent maintained as amended; B2 published.,Virallinen EPO-tila: patentti pysytetty muutettuna; B2 julkaistu.,"Central EPO procedure verified; national validation, renewal and enforceability vary by state and remain separate checks.","Keskitetty EPO-menettely on vahvistettu; kansallinen validointi, vuosimaksut ja täytäntöönpanokelpoisuus vaihtelevat valtioittain ja tarkistetaan erikseen.",official_central_status,EPO-REGISTER-MAIN|EPO-REGISTER-EVENT|EPO-B2-SPECIFICATION,https://register.epo.org/application?number=EP14836345&lng=en&tab=main,The central EPO status is not a substitute for authoritative post-grant national status.,EPO:n keskitetty tila ei korvaa myöntämisen jälkeistä virallista kansallista tilaa.
ES,Spain,Espanja,validated_ep_publication,E14836345,ES2733951T5,2024-12-12,amended_national_ep_publication,Amended national EP publication recorded in the official EPO family record.,Muutettu kansallinen EP-julkaisu on kirjattu EPO:n viralliseen patenttiperherekisteriin.,Current national status not independently verified as of 22 July 2026.,Nykyistä kansallista voimassaoloa ei ole riippumattomasti vahvistettu 22.7.2026 mennessä.,official_family_record,EPO-REGISTER-FAMILY|EPO-REGISTER-LEGAL,https://ceo.oepm.es/detalleExpediente?numExp=E14836345,"Verify current Spanish status, renewals, title, claims and encumbrances in the national register.","Espanjan nykyinen tila, vuosimaksut, omistus, vaatimukset ja rasitteet on tarkistettava kansallisesta rekisteristä."
FI,Finland,Suomi,national_priority_grant,FI20135829,FI125544B,2015-11-30,national_grant_publication,Grant publication recorded in the official EPO family record.,Myöntöjulkaisu on kirjattu EPO:n viralliseen patenttiperherekisteriin.,PRH: Valid; Pixan Oy recorded as owner; year-13 fee paid 20 August 2025.,PRH: voimassa; Pixan Oy kirjattu haltijaksi; 13. vuosimaksu maksettu 20.8.2025.,official_national_record,EPO-REGISTER-FAMILY|PRH-FI-REGISTER,https://patenttitietopalvelu.prh.fi/en/patent/20135829,The separate Finnish patent is not the same as the lapsed Finnish validation of EP3032975; the year-14 fee is due 31 August 2026.,Erillinen suomalainen patentti ei ole sama kuin EP3032975:n rauennut Suomen validointi; 14. vuosimaksu erääntyy 31.8.2026.
HR,Croatia,Kroatia,validated_ep_publication,EP14836345.0,HRP20191205T4,2024-10-11,amended_national_ep_publication,Amended national EP publication recorded in the official EPO family record.,Muutettu kansallinen EP-julkaisu on kirjattu EPO:n viralliseen patenttiperherekisteriin.,Current national status not independently verified as of 22 July 2026.,Nykyistä kansallista voimassaoloa ei ole riippumattomasti vahvistettu 22.7.2026 mennessä.,official_family_record,EPO-REGISTER-FAMILY|EPO-REGISTER-LEGAL,https://it-app.dziv.hr/Pretrage/Federated/FDefault.aspx?pn=EP3032975&ln=en,"Verify current Croatian status, renewals, title, operative claims and encumbrances.","Kroatian nykyinen tila, vuosimaksut, omistus, käytettävät vaatimukset ja rasitteet on tarkistettava."
